Date,Event Name,Venue,Location
2013-03-10,Jeremy Loops @ Kirstenbosch Botanical Gardens,Kirstenbosch Botanical Gardens,"Cape Town, South Africa"
2013-02-17,"Sipho ""Hotstix"" Mabuse @ Kirstenbosch Botanical Gardens",Kirstenbosch Botanical Gardens,"Cape Town, South Africa"
2013-02-09,Rodriguez @ Grand Arena at GrandWest,Grand Arena at GrandWest,"Cape Town, South Africa"
2013-01-20,Jimmy Dludlu @ Kirstenbosch Botanical Gardens,Kirstenbosch Botanical Gardens,"Cape Town, South Africa"
2012-12-31,Hugh Masekela @ Kirstenbosch Botanical Gardens,Kirstenbosch Botanical Gardens,"Cape Town, South Africa"
2012-12-02,Mango Groove @ Kirstenbosch Botanical Gardens,Kirstenbosch Botanical Gardens,"Cape Town, South Africa"
2012-11-05,Godspeed You! Black Emperor @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2012-11-02,Jack White @ Alexandra Palace,Alexandra Palace,"London, UK"
2012-10-24,Zombie Zombie @ The Lexington,The Lexington,"London, UK"
2012-10-19,Blanck Mass @ XOYO,XOYO,"London, UK"
2012-10-15,Tamaryn @ The Lexington,The Lexington,"London, UK"
2012-10-10,Turbowolf @ The Garage,The Garage,"London, UK"
2012-10-04,Ultrasound @ Scala,Scala,"London, UK"
2012-09-17,A Place To Bury Strangers @ Dingwalls,Dingwalls,"London, UK"
2012-09-06,Bestival 2012 @ Robin Hill Country Park,Robin Hill Country Park,"Arreton, UK"
2012-08-03,Standon Calling 2012 @ Standon Lordship,Standon Lordship,"Standon, UK"
2012-06-30,The Stone Roses @ Heaton Park,Heaton Park,"Manchester, UK"
2012-06-18,Niki & The Dove @ Camden Assembly,Camden Assembly,"Camden, UK"
2012-06-14,Terry Reid @ Jazz Cafe,Jazz Cafe,"London, UK"
2012-06-07,EPMD @ Jazz Cafe,Jazz Cafe,"London, UK"
2012-06-03,Apple Cart Festival 2012 @ Victoria Park,Victoria Park,"London, UK"
